event_id,title,city,city_slug,icao,lat,lon,unit,timezone,target_date,resolved_temp,bucket_label
22023,Highest temperature in NYC on April 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-04-03,72.0,72+
21895,Highest temperature in NYC on April 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-04-02,48.0,48-49
21763,Highest temperature in NYC on March 31?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-31,68.0,68-69
21762,Highest temperature in NYC on March 30?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-30,45.0,45-46
21766,Highest temperature in NYC on April 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-04-01,57.0,57-58
21710,Highest temperature in NYC on March 29?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-29,81.0,81-82
21669,Highest temperature in NYC on March 28?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-28,64.0,64-65
21609,Highest temperature in NYC on March 27?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-27,51.0,51-52
21554,Highest temperature in NYC on March 26?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-26,50.0,50-51
21356,Highest temperature in NYC on March 23?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-23,47.0,47-48
21358,Highest temperature in NYC on March 25?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-25,59.0,59+
21357,Highest temperature in NYC on March 24?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-24,51.0,51-52
21298,Highest temperature in NYC on March 22?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-22,62.0,62-63
21246,Highest temperature in NYC on March 21?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-21,50.0,50-51
21204,Highest temperature in NYC on March 20?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-20,52.0,52-53
21161,Highest temperature in NYC on March 19?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-19,61.0,61-62
20934,Highest temperature in NYC on March 16?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-16,57.0,57-58
20935,Highest temperature in NYC on March 17?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-17,58.0,58-59
20936,Highest temperature in NYC on March 18?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-18,61.0,61-62
20828,Highest temperature in NYC on March 15?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-15,48.0,48-49
20812,Highest temperature in NYC on March 14?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-14,53.0,53-54
20774,Highest temperature in NYC on March 13?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-13,45.0,45-46
20742,Highest temperature in NYC on March 12?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-12,54.0,54-55
20515,Highest temperature in NYC on March 11?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-11,61.0,61-62
20514,Highest temperature in NYC on March 10?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-10,64.0,64+
20513,Highest temperature in NYC on March 9?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-09,53.0,53-54
20453,Highest temperature in NYC on March 8?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-08,45.0,45-46
20382,Highest temperature in NYC on March 7?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-07,50.0,50-51
20317,Highest temperature in NYC on March 6?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-06,53.0,53-54
20189,Highest temperature in NYC on March 5?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-05,55.0,55-56
19956,Highest temperature in NYC on March 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-03,40.0,40-41
19959,Highest temperature in NYC on March 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-04,51.0,51-52
19809,Highest temperature in NYC on March 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-02,34.0,34-35
19693,Highest temperature in NYC on March 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-03-01,63.0,63+
17718,Highest temperature in NYC on February 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-02-04,49.0,49+
17555,Highest temperature in NYC on February 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-02-03,47.0,47-48
17554,Highest temperature in NYC on February 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-02-02,32.0,32-
17513,Highest temperature in NYC on February 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-02-01,46.0,46+
