resolved_at,target_date,city,station_icao,bucket,side,entry_price,size_usd,ev_per_bet,spread_colour,det_spread,model_values_json,actual_temp,outcome,pnl_usd,miss_distance,signal_timestamp,strategy
2026-03-02T16:56:28.983207+00:00,2026-03-01,Wellington,NZWN,21+,BUY_YES,0.24,5.0,15.833,GREEN,1.0,"{""ukmo_seamless"":19.6,""ecmwf_ifs025"":18.6,""icon_seamless"":18.8}",20,LOSS,-5.0,1.0,2026-02-28T20:40:30.295888+00:00,LADDER
2026-03-02T16:56:29.167447+00:00,2026-03-01,London,EGLC,14+,BUY_YES,0.063,5.0,54.524,GREEN,0.9,"{""meteofrance_arome_france"":11.3,""meteofrance_seamless"":11.3,""meteofrance_arome_france_hd"":11.3,""icon_seamless"":12.2,""dmi_seamless"":12.1}",13,LOSS,-5.0,1.36,2026-02-28T20:40:30.297482+00:00,LADDER
2026-03-02T16:56:29.347788+00:00,2026-03-01,Dallas,KDFW,72+,BUY_NO,0.997,5.0,795.0,RED,5.1,"{""ncep_nbm_conus"":79.9,""gfs_seamless"":75.5,""ecmwf_ifs025"":80.2,""icon_seamless"":80.6}",81,LOSS,-5.0,1.95,2026-02-28T20:40:30.299731+00:00,LADDER
2026-03-02T16:56:29.500311+00:00,2026-03-01,Toronto,CYYZ,-3+,BUY_YES,0.11,5.0,20.0,RED,6.2,"{""kma_gdps"":-1.7,""meteofrance_arpege_world"":-3.8,""gem_global"":-4.5,""dmi_seamless"":-7.9}",-6,LOSS,-5.0,-1.53,2026-02-28T20:40:30.301653+00:00,LADDER
2026-03-02T16:56:29.678036+00:00,2026-03-01,Atlanta,KATL,72-73,BUY_YES,0.12000000000000001,5.0,16.667,RED,3.7,"{""ncep_nbm_conus"":73.4,""gfs_seamless"":70.0,""ecmwf_ifs025"":73.7,""icon_seamless"":72.5}",78,LOSS,-5.0,5.6,2026-02-28T20:40:30.302671+00:00,LADDER
2026-03-02T16:56:29.845524+00:00,2026-03-01,Chicago,KORD,28-29,BUY_YES,0.255,5.0,7.745,GREEN,2.2,"{""ncep_nbm_conus"":32.3,""ncep_aigfs025"":31.3,""gem_seamless"":31.5,""best_match"":32.1,""icon_seamless"":30.1}",32,LOSS,-5.0,0.54,2026-02-28T20:40:30.303745+00:00,LADDER
2026-03-02T16:56:29.999305+00:00,2026-03-01,NYC,KLGA,36-37,BUY_YES,0.15500000000000003,5.0,11.774,RED,6.4,"{""ncep_nbm_conus"":39.5,""icon_seamless"":38.6,""gfs_graphcast025"":38.2,""kma_seamless"":39.1,""gem_seamless"":33.1}",43,LOSS,-5.0,5.3,2026-02-28T20:40:30.304798+00:00,LADDER
2026-03-02T16:56:30.143340+00:00,2026-03-01,Ankara,LTAC,10+,BUY_YES,0.195,5.0,9.103,RED,3.0,"{""icon_global"":8.0,""meteofrance_arpege_world"":8.3,""jma_seamless"":5.5,""icon_seamless"":7.5,""ecmwf_ifs025"":8.5,""gfs_graphcast025"":7.7}",9,LOSS,-5.0,1.42,2026-02-28T20:40:30.305877+00:00,LADDER
2026-03-02T16:56:30.143554+00:00,2026-03-01,Chicago,KORD,34-35,BUY_YES,0.09,5.0,31.111,GREEN,2.2,"{""ncep_nbm_conus"":32.3,""ncep_aigfs025"":31.3,""gem_seamless"":31.5,""best_match"":32.1,""icon_seamless"":30.1}",32,LOSS,-5.0,0.54,2026-02-28T21:00:30.786198+00:00,LADDER
2026-03-02T16:56:30.143655+00:00,2026-03-01,Atlanta,KATL,76+,BUY_NO,0.5449999999999999,5.0,4.296,RED,3.7,"{""ncep_nbm_conus"":73.4,""gfs_seamless"":70.0,""ecmwf_ifs025"":73.7,""icon_seamless"":72.5}",78,LOSS,-5.0,5.6,2026-02-28T21:00:30.788159+00:00,LADDER
2026-03-02T16:56:30.289709+00:00,2026-03-01,Miami,KMIA,76-77,BUY_YES,0.154,5.0,11.883,RED,6.0,"{""ncep_nbm_conus"":78.6,""gfs_seamless"":80.0,""ecmwf_ifs025"":74.0,""icon_seamless"":77.1}",84,LOSS,-5.0,6.58,2026-02-28T21:00:30.789518+00:00,LADDER
2026-03-02T16:56:30.456015+00:00,2026-03-01,Seattle,KSEA,54-55,BUY_YES,0.32999999999999996,5.0,2.879,RED,4.2,"{""icon_seamless"":53.0,""gem_seamless"":57.2,""ncep_nbm_conus"":54.3}",56,LOSS,-5.0,1.17,2026-02-28T21:00:30.795058+00:00,LADDER
2026-03-02T16:56:30.456316+00:00,2026-03-01,Seattle,KSEA,52-53,BUY_NO,0.31000000000000005,5.0,1.362,RED,4.2,"{""icon_seamless"":53.0,""gem_seamless"":57.2,""ncep_nbm_conus"":54.3}",56,WIN,11.129,1.17,2026-02-28T21:00:30.796462+00:00,LADDER
2026-03-02T16:56:30.456456+00:00,2026-03-01,NYC,KLGA,38-39,BUY_YES,0.36,5.0,2.222,RED,6.4,"{""ncep_nbm_conus"":39.5,""icon_seamless"":38.6,""gfs_graphcast025"":38.2,""kma_seamless"":39.1,""gem_seamless"":33.1}",43,LOSS,-5.0,5.3,2026-02-28T21:20:27.984772+00:00,LADDER
2026-03-02T16:56:30.456549+00:00,2026-03-01,Seattle,KSEA,56-57,BUY_NO,0.26,5.0,0.84,RED,4.2,"{""icon_seamless"":53.0,""gem_seamless"":57.2,""ncep_nbm_conus"":54.3}",56,LOSS,-5.0,1.17,2026-02-28T21:20:27.987050+00:00,LADDER
2026-03-02T16:56:30.456644+00:00,2026-03-01,NYC,KLGA,40-41,BUY_NO,0.22,5.0,0.728,RED,6.4,"{""ncep_nbm_conus"":39.5,""icon_seamless"":38.6,""gfs_graphcast025"":38.2,""kma_seamless"":39.1,""gem_seamless"":33.1}",43,WIN,17.7273,5.3,2026-02-28T21:20:27.988862+00:00,LADDER
2026-03-02T16:56:30.456825+00:00,2026-03-01,NYC,KLGA,42-43,BUY_NO,0.122,5.0,0.363,RED,6.4,"{""ncep_nbm_conus"":39.5,""icon_seamless"":38.6,""gfs_graphcast025"":38.2,""kma_seamless"":39.1,""gem_seamless"":33.1}",43,LOSS,-5.0,5.3,2026-02-28T21:20:27.994486+00:00,LADDER
2026-03-02T16:56:30.456944+00:00,2026-03-01,NYC,KLGA,34-35,BUY_YES,0.065,5.0,2.447,RED,6.4,"{""ncep_nbm_conus"":39.5,""icon_seamless"":38.6,""gfs_graphcast025"":38.2,""kma_seamless"":39.1,""gem_seamless"":33.1}",43,LOSS,-5.0,5.3,2026-02-28T21:20:27.996873+00:00,LADDER
2026-03-02T16:56:30.457032+00:00,2026-03-01,Miami,KMIA,78-79,BUY_NO,0.365,5.0,0.482,RED,6.0,"{""ncep_nbm_conus"":78.8,""gfs_seamless"":80.0,""ecmwf_ifs025"":74.0,""icon_seamless"":77.1}",84,WIN,8.6986,6.53,2026-02-28T21:45:27.604133+00:00,LADDER
2026-03-02T16:56:30.457120+00:00,2026-03-01,Seattle,KSEA,58-59,BUY_YES,0.1135,5.0,17.907,RED,3.3,"{""icon_seamless"":53.9,""gem_seamless"":57.2,""ncep_nbm_conus"":54.5}",56,LOSS,-5.0,0.8,2026-02-28T22:15:34.804446+00:00,LADDER
2026-03-02T16:56:30.457199+00:00,2026-03-01,Miami,KMIA,82-83,BUY_YES,0.076,5.0,15.527,RED,6.0,"{""ncep_nbm_conus"":78.8,""gfs_seamless"":80.0,""ecmwf_ifs025"":74.0,""icon_seamless"":77.9}",84,LOSS,-5.0,6.33,2026-02-28T22:15:34.807118+00:00,LADDER
2026-03-02T16:56:30.613908+00:00,2026-03-01,Seoul,RKSI,14+,BUY_YES,0.065,5.0,71.923,RED,2.6,"{""ncep_aigfs025"":11.7,""gfs_graphcast025"":11.4,""ecmwf_ifs025"":9.2,""kma_gdps"":11.8,""kma_seamless"":10.4}",12,LOSS,-5.0,1.1,2026-03-01T01:00:34.456629+00:00,LADDER
2026-03-02T17:11:33.935915+00:00,2026-02-22,Seoul,RKSI,12+,BUY_YES,0.08299999999999999,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.151249+00:00
2026-03-02T17:11:34.036125+00:00,2026-02-23,Paris,LFPG,17+,BUY_YES,0.12000000000000001,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.152488+00:00
2026-03-02T17:11:34.129863+00:00,2026-02-22,Miami,KMIA,82-83,BUY_YES,0.05449999999999999,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.153166+00:00
2026-03-02T17:11:34.229992+00:00,2026-02-23,Dallas,KDFW,62-63,BUY_YES,0.08499999999999999,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.154101+00:00
2026-03-02T17:11:34.335818+00:00,2026-02-22,Seattle,KSEA,46-47,BUY_YES,0.05550000000000001,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.154728+00:00
2026-03-02T17:11:34.418943+00:00,2026-02-23,NYC,KLGA,36+,BUY_NO,0.6,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.155606+00:00
2026-03-02T17:11:34.506336+00:00,2026-02-22,Chicago,KORD,24-25,BUY_YES,0.0905,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.157106+00:00
2026-03-02T17:11:34.596367+00:00,2026-02-23,Miami,KMIA,66-67,BUY_YES,0.195,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.157908+00:00
2026-03-02T17:11:34.693445+00:00,2026-02-23,Atlanta,KATL,40-41,BUY_YES,0.33499999999999996,5.0,,,,{},,WIN,9.9254,,2026-02-22T00:50:31.158599+00:00
2026-03-02T17:11:34.771965+00:00,2026-02-23,Chicago,KORD,26-27,BUY_YES,0.215,5.0,,,,{},,LOSS,-5.0,,2026-02-22T00:50:31.159536+00:00
2026-03-02T17:11:34.850180+00:00,2026-02-23,Chicago,KORD,28-29,BUY_YES,0.16999999999999998,5.0,,,,{},,WIN,24.4118,,2026-02-22T01:37:44.078330+00:00
2026-03-02T17:11:34.935959+00:00,2026-02-23,Dallas,KDFW,60-61,BUY_YES,0.305,4.999999999999999,,,,{},,WIN,11.3934,,2026-02-22T01:37:44.079451+00:00
2026-03-02T17:11:35.035969+00:00,2026-02-22,NYC,KLGA,36-37,BUY_YES,0.185,5.0,,,,{},,LOSS,-5.0,,2026-02-22T01:37:44.080372+00:00
2026-03-02T17:11:35.139671+00:00,2026-02-23,NYC,KLGA,32-33,BUY_YES,0.2,5.0,,,,{},,LOSS,-5.0,,2026-02-22T01:37:44.081290+00:00
2026-03-02T17:11:35.227610+00:00,2026-02-22,NYC,KLGA,38-39,BUY_NO,0.505,5.0,,,,{},,WIN,4.901,,2026-02-22T01:37:44.082064+00:00
2026-03-02T17:11:35.320931+00:00,2026-02-23,Miami,KMIA,68-69,BUY_YES,0.10500000000000001,5.0,,,,{},,LOSS,-5.0,,2026-02-22T01:37:44.083243+00:00
2026-03-02T17:11:35.407261+00:00,2026-02-22,NYC,KLGA,40-41,BUY_NO,0.765,5.0,,,,{},,WIN,1.5359,,2026-02-22T01:37:44.084105+00:00
2026-03-02T17:11:35.495104+00:00,2026-02-23,NYC,KLGA,30-31,BUY_YES,0.0875,5.0,,,,{},,LOSS,-5.0,,2026-02-22T01:37:44.085307+00:00
2026-03-02T17:11:35.613983+00:00,2026-02-22,Seattle,KSEA,54-55,BUY_YES,0.057,5.0,,,,{},,LOSS,-5.0,,2026-02-22T01:37:44.086249+00:00
